County Name,Ctfips,Geography Selector,LHD Name,CTPopulation,Average Yrsof Schooling,Good Air Quality Index,High Employment Access,High Health Care Access,Income Equality GINI,Job Participation High Labor Force,Less Deprived Area Townsend Index,LILA Food Access,More Affordability Index,More Walkability Environment Index,Pop WeightedDensity,Racial Dissimilarity Index,Stables Pop Churning
Arlington County,51013101701,Arlington County,Arlington LHD,3686,0.85371568,0.800711474,0.131224296,0.432197695,0.395411606,0.759,0.343863209,0.066697553,0.627627628,0.731265445,1,0.801044298,0.513994911
Arlington County,51013101702,Arlington County,Arlington LHD,4485,0.858297453,0.70921631,0.12496949,0.417921489,0.3365722,0.837,0.2440747,0.066697553,0.678678679,0.656096059,0.426841659,0.804556209,0.676844784
Arlington County,51013101703,Arlington County,Arlington LHD,2066,0.871538512,0.837283039,0.174186992,0.424338558,0.381781377,0.843,0.570917868,0.066697553,0.651651652,0.301768409,0.294564441,0.733943087,0.720101781
Arlington County,51013101801,Arlington County,Arlington LHD,2272,0.950062504,0.979440424,0.139970717,0.443116387,0.453036437,0.906,0.483095553,0.066697553,0.726726727,0.640321287,0.309513366,0.606575107,0.708651399
Arlington County,51013101802,Arlington County,Arlington LHD,6538,0.888723453,0.767906163,0.131421534,0.434747109,0.475708502,0.894,0.302523356,0.066697553,0.708708709,0.598746329,0.740317123,0.767170972,0.659033079
Arlington County,51013101803,Arlington County,Arlington LHD,4115,0.874286334,0.814818832,0.169342252,0.432974192,0.355870445,0.907,0.418700709,0.066697553,0.647647648,0.370204365,0.142538919,0.944285833,0.759541985
Arlington County,51013101900,Arlington County,Arlington LHD,3049,0.906434761,0.608152359,0.120779759,0.455236587,0.539406208,0.771,0.567297437,0.066697553,0.737737738,0.375461698,0.081548372,0.2801606,0.787531807
Arlington County,51013102001,Arlington County,Arlington LHD,2853,0.569860239,0.876117127,0.06802931,0.46675958,0.466666667,0.762,0.198106247,0.066697553,0.615615616,0.339883891,0.334368646,0.784385264,0.82697201
Arlington County,51013102002,Arlington County,Arlington LHD,1589,0.789078753,0.938398102,0.144807553,0.46675958,0.413225371,0.847,0.382994648,0.066697553,0.5995996,0.335196114,0.227960552,0.772829195,0.84605598
Arlington County,51013102003,Arlington County,Arlington LHD,3651,0.717679712,0.763875558,0.126551936,0.462730692,0.309176788,0.645,0.333129589,0.066697553,0.345345345,0.369250808,0.225364312,0.695804194,0.734096692
Arlington County,51013102100,Arlington County,Arlington LHD,2321,0.75770049,0.607950042,0.115831266,0.467830811,0.318623482,0.595,0.347207092,0.066697553,0.735735736,0.267140018,0.0584998,0.133397233,0.923664122
